Archivo,Línea,Sección,Criterio WCAG,Problema Antes,Solución Después,Impacto,Estado
login.php,142-149,Alertas de error/éxito,WCAG 1.3.1 - Info y relaciones,"Emojis sin separación semántica (❌ ✅ directamente en el texto)","Emojis envueltos en <span aria-hidden=""true""> para separarlos del contenido",Mejora lectura por lectores de pantalla que solo leen el texto,✅ Completado
login.php,156-163,Input Email/Usuario,WCAG 1.3.5 - Identificar propósito,"Input sin atributo autocomplete, sin aria-describedby","Agregado autocomplete=""username"", aria-describedby=""emailHelp"", label con for=""email""",Autocompletado accesible + ayuda contextual,✅ Completado
login.php,167-174,Input Contraseña,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin aria-describedby","Agregado autocomplete=""current-password"", aria-describedby=""passwordHelp"", label con for=""password""",Gestores de contraseñas funcionan + ayuda contextual,✅ Completado
login.php,193-196,Botón inicio sesión,WCAG 2.4.6 - Encabezados y etiquetas,"Botón sin aria-label descriptivo","Agregado aria-label=""Iniciar sesión en Kairos""",Claridad para usuarios de lectores de pantalla,✅ Completado
register.php,165-171,Input Username,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin inputmode, sin aria-describedby","Agregado autocomplete=""username"", inputmode=""text"", aria-describedby=""usernameHelp"", pattern con validación",Autocompletado + teclado optimizado + validación en tiempo real,✅ Completado
register.php,175-181,Input Email,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin inputmode","Agregado autocomplete=""email"", inputmode=""email"", aria-describedby=""emailHelp""",Teclado de email en móviles + autocompletado,✅ Completado
register.php,185-193,Input Nombre,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin pattern de validación","Agregado autocomplete=""given-name"", pattern=""^[a-zA-ZáéíóúÁÉÍÓÚñÑüÜ\s]{2,50}$"", aria-describedby=""nombreHelp""",Autocompletado de nombre + validación de caracteres,✅ Completado
register.php,197-205,Input Apellidos,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin pattern","Agregado autocomplete=""family-name"", pattern=""^[a-zA-ZáéíóúÁÉÍÓÚñÑüÜ\s]{2,100}$""",Autocompletado de apellidos + validación,✅ Completado
register.php,209-219,Input Contraseña,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, pattern básico","Agregado autocomplete=""new-password"", pattern mejorado, aria-describedby=""passwordHelp"" con todos los requisitos",Gestores de contraseñas + validación completa visible,✅ Completado
register.php,223-229,Input Fecha Nacimiento,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin restricciones de edad","Agregado autocomplete=""bday"", min (hace 120 años), max (hace 16 años), aria-describedby=""fechaHelp""",Autocompletado de fecha + validación de edad mínima,✅ Completado
register.php,233-240,Input Teléfono,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin inputmode, pattern simple","Agregado autocomplete=""tel"", inputmode=""tel"", pattern=""^[0-9]{9}$"", aria-describedby=""telefonoHelp""",Teclado numérico + autocompletado + validación 9 dígitos,✅ Completado
register.php,244-251,Input Dirección,WCAG 1.3.5 - Identificar propósito,"Input sin autocomplete, sin pattern","Agregado autocomplete=""street-address"", pattern para alfanumérico, aria-describedby=""direccionHelp""",Autocompletado de dirección + validación,✅ Completado
